class	class_label	synonyms	GARD	NCIT	OMIM	DOID	Orphanet	is_gard_rare	is_mondo_rare	is_rare	is_leaf
MONDO:0022737	choroideremia hypopituitarism	choroideraemia co-occurrent with hypopituitarism|choroideremia hypopituitarism|choroideraemia hypopituitarism|choroideremia co-occurrent with hypopituitarism	GARD:0001312					True	True	True	True
MONDO:0015466	cranio-osteoarthropathy	cranio osteoarthropathy|Currarino disease|Reginato-Schiapachasse syndrome|Currarino idiopathic osteoarthropathy	GARD:0001564				Orphanet:1525	True	True	True	True
MONDO:0000459	mesenchymal glioblastoma	glioblastoma mesenchymal subtype|mesenchymal glioblastoma		NCIT:C111695		DOID:0050805		False	True	True	True
MONDO:0014687	retinitis pigmentosa 73	retinitis pigmentosa 73; RP73|retinitis pigmentosa 73|retinitis pigmentosa caused by mutation in HGSNAT|retinitis pigmentosa type 73|HGSNAT retinitis pigmentosa|RP73			OMIM:616544	DOID:0110389		False	True	True	True
MONDO:0020476	mesial temporal lobe epilepsy with hippocampal sclerosis	MTLE-HS					Orphanet:99701	False	True	True	True
MONDO:0014843	premature ovarian failure 11	ERCC6 primary ovarian failure|primary ovarian failure caused by mutation in ERCC6|premature ovarian failure 11|premature ovarian failure type 11|premature ovarian failure 11; POF11|POF11			OMIM:616946			False	True	True	True
MONDO:0007908	multiple symmetric lipomatosis	Launois-Bensaude lipomatosis|benign symmetrical lipomatosis|familial symmetric lipomatosis|Madelung's neck|lipodystrophy, cephalothoracic|lipomatosis, multiple symmetric; MSL|cephalothoracic lipodystrophy|multiple symmetrical lipomatosis|multiple symmetric lipomatosis|MSL|cervical symmetrical lipomatosis|Launois-Bensaude syndrome|Launois-Bensaude's lipomatosis|Madelung's disease|familial benign cervical lipomatosis|lipomatosis, familial benign cervical|Madelung disease|lipomatosis, multiple symmetric	GARD:0006957	NCIT:C4392	OMIM:151800	DOID:14116	Orphanet:2398	True	True	True	True
MONDO:0018683	acquired ichthyosis	fish scale disease, acquired|acquired ichthyosis (disease)|ichthyosis, acquired|ichthyosis acquisita|acquired ichthyosis	GARD:0000476	NCIT:C112831			Orphanet:454	True	True	True	True
MONDO:0003894	mediastinal melanocytic neurilemmoma	melanocytic schwannoma of mediastinum|melanocytic schwannoma of the mediastinum|mediastinal melanocytic schwannoma|melanocytic neurilemmoma of the mediastinum|melanocytic neurilemmoma of mediastinum|mediastinal melanotic schwannoma		NCIT:C6635		DOID:6484		False	True	True	True
MONDO:0011214	progressive familial intrahepatic cholestasis type 3	cholestasis, progressive familial intrahepatic, 3|cholestasis, progressive familial intrahepatic, with elevated serum gamma-glutamyltransferase|progressive familial intrahepatic cholestasis with elevated serum gamma-glutamyltransferase|cholestasis, progressive familial intrahepatic, 3; PFIC3|ABCB4 progressive familial intrahepatic cholestasis|PFIC3|cholestasis, progressive familial intrahepatic, type 3|progressive familial intrahepatic cholestasis caused by mutation in ABCB4|Mdr3 deficiency	GARD:0001289		OMIM:602347	DOID:0070223	Orphanet:79305	True	True	True	True
MONDO:0024535	Singleton-Merten syndrome 1	singleton-Merten dysplasia caused by mutation in IFIH1|IFIH1 singleton-Merten dysplasia|singleton-Merten syndrome 1; SGMRT1|SGMRT1			OMIM:182250			False	True	True	True
MONDO:0008563	thumb stiffness-brachydactyly-intellectual disability syndrome	Piussan-Lenaerts-Mathieu syndrome|thumbs, STIFF, with brachydactyly type A1 and developmental delay|Thumb ankylosis with mental retardation|thumb stiff brachydactyly mental retardation	GARD:0005200		OMIM:188201		Orphanet:1078	True	True	True	True
MONDO:0015687	chronic eosinophilic leukemia						Orphanet:168940	False	True	True	True
MONDO:0013212	Charcot-Marie-Tooth disease axonal type 2N	AARS Charcot-Marie-Tooth disease type 2|autosomal dominant Charcot-Marie-Tooth disease type 2N|autosomal dominant axonal Charcot-Marie-Tooth disease type 2N|Charcot-Marie-Tooth disease, axonal, type 2N; CMT2N|CMT2N|Charcot-Marie-Tooth disease, axonal, type 2N|Charcot-Marie-Tooth disease type 2N|Charcot-Marie-Tooth neuropathy axonal type 2N|Charcot-Marie-Tooth disease, axonal, autosomal dominant, type 2N|Charcot-Marie-Tooth neuropathy, axonal, type 2N|Charcot-Marie-Tooth disease type 2 caused by mutation in AARS	GARD:0012429		OMIM:613287	DOID:0110177	Orphanet:228174	False	True	True	True
MONDO:0019947	rippling muscle disease 2	rippling muscle disease 2; RMD2|muscular dystrophy limb-girdle type IC|rippling muscle disease caused by mutation in CAV3|muscular dystrophy, limb-girdle, type 1C; LGMD1C|rippling muscle disease type 2|limb-girdle muscular dystrophy type 1C|autosomal dominant limb-girdle muscular dystrophy caused by mutation in CAV3|LGMD1C|limb-girdle muscular dystrophy due to caveolin-3 deficiency|rippling muscle disease 2|muscular dystrophy, limb-girdle, type IC|CAV3 autosomal dominant limb-girdle muscular dystrophy|RMD2|muscular dystrophy, limb-girdle, type 1C|CAV3 rippling muscle disease		NCIT:C148325	OMIM:606072	DOID:0060255		False	True	True	True
MONDO:0001728	active vestibular Meniere disease	active Meniere's disease, vestibular|active vestibular Meniere disease|active vestibular Meniere's disease|vestibular active Mnire's disease				DOID:13491		False	True	True	True
MONDO:0018673	IgG4-related pachymeningitis	idiopathic hypertrophic pachymeningitis|idiopathic hypertrophic craniospinal pachymeningitis|idiopathic hypertrophic spinal pachymeningitis|idiopathic hypertrophic cranial pachymeningitis	GARD:0013256				Orphanet:449427	True	True	True	True
MONDO:0009690	congenital myasthenic syndrome 10	familial limb-girdle myasthenia|congenital myasthenic syndrome type 10|myasthenic syndrome, congenital, type 10|myasthenia, limb-girdle, familial, formerly|CMS1B|myasthenia, limb-girdle, familial|Cms Ib, formerly|myasthenic syndrome, congenital, 10|DOK7 congenital myasthenic syndrome|congenital myasthenic syndrome type IB|CMS10|congenital myasthenic syndrome type IB, formerly|Cms Ib|myasthenic myopathy, formerly|LGM|myasthenic syndrome, congenital, 10; CMS10|congenital myasthenic syndrome caused by mutation in DOK7|myasthenic myopathy|CMS Ib			OMIM:254300	DOID:0110668		False	True	True	True
MONDO:0007792	familial hypocalciuric hypercalcemia 2	hypocalciuric hypercalcemia, familial, type II|FBH2|hypocalciuric hypercalcemia, familial, type 2|familial hypocalciuric hypercalcemia type 2|hypocalciuric hypercalcemia, familial, type II; HHC2|familial benign hypercalcemia, type 2|hypocalciuric hypercalcemia type II|HHC2|hypercalcemia, familial benign, type 2|FHH type 2|hypercalcemia, familial benign type 2	GARD:0009758		OMIM:145981	DOID:0060701	Orphanet:101049	False	True	True	True
MONDO:0014355	cardiomyopathy, dilated, with woolly hair, keratoderma, and tooth agenesis	cardiomyopathy, dilated, with woolly hair, keratoderma, and tooth agenesis; DCWHKTA|DCWHKTA|cardiomyopathy, dilated, with woolly hair, keratoderma, and tooth agenesis			OMIM:615821			False	True	True	True
MONDO:0008447	hereditary spherocytosis type 1	hereditary spherocytosis 1|spherocytosis, type 1; SPH1|spherocytosis, type 1|spherocytosis, hereditary, 1|Sph|SPH1|HS1|hereditary spherocytosis caused by mutation in ANK1|ANK1 hereditary spherocytosis			OMIM:182900	DOID:0110916		False	True	True	True
MONDO:0018223	systemic Epstein-Barr virus-positive T-cell lymphoproliferative disease of childhood	systemic EBV-positive T-cell lymphoma of childhood|systemic EBV-positive T-cell lymphoproliferative disorder of childhood|systemic EBV+ T-cell LPD of childhood|systemic EBV-positive T-cell lymphoproliferative disease of childhood		NCIT:C80374			Orphanet:364033	False	True	True	True
MONDO:0012160	spondylometaphyseal dysplasia-cone-rod dystrophy syndrome	spondylometaphyseal dysplasia with cone-ROD dystrophy; SMDCRD|spondylometaphyseal dysplasia with cone-ROD dystrophy|SMDCRD|SmD-CRD	GARD:0010647		OMIM:608940		Orphanet:85167	False	True	True	True
MONDO:0022645	cardioencephalomyopathy		GARD:0010673					True	False	True	True
MONDO:0017281	renal caliceal diverticuli-deafness syndrome						Orphanet:2838	False	True	True	True
MONDO:0010081	subaortic stenosis, membranous	subaortic stenosis, membranous			OMIM:271950			False	True	True	True
MONDO:0018048	heparin-induced thrombocytopenia (disease)	HIT|heparin-associated thrombocytopenia|heparin-induced thrombocytopenia type 2|heparin-induced thrombocytopenia|HAT	GARD:0002650				Orphanet:3325	False	True	True	True
MONDO:0012008	Lelis syndrome	Lelis syndrome|ectodermal dysplasia, hypohidrotic, with acanthosis nigricans|ectodermal dysplasia-acanthosis nigricans syndrome	GARD:0010367		OMIM:608290		Orphanet:140936	True	True	True	True
MONDO:0006906	pigmented villonodular synovitis	localized pigmented villonodular synovitis|diffuse-type giant cell tumor|TSGCT|villous tenosynovitis|diffuse pigmented villonodular synovitis|tenosynovial giant cell tumors|TGCT|diffuse Giant cell tumor of Tenosynovium|villonodular synovitis|diffuse-type GCT|tenosynovial giant cell tumor	GARD:0007396			DOID:9898	Orphanet:66627	True	True	True	True
MONDO:0004307	sarcomatosis of the meninges	meninges sarcomatosis|meningeal sarcomatosis (morphologic abnormality)|sarcomatosis of the meninges|sarcomatosis of meninges|meningeal cluster sarcomatosis|meningeal sarcomatosis		NCIT:C4334		DOID:7613		False	True	True	True
MONDO:0022817	congenital amputation		GARD:0001471					True	False	True	True
MONDO:0043275	TORCH syndrome	TORCH infection|toxoplasmosis, other infections, rubella, cytomegalovirus, and herpes simplex virus syndrome|torch syndrome|toxoplasmosis, other infections, rubella, cytomegalovirus, and herpes simplex virus (torch) syndrome|toxoplasmosis, Other infections, Rubella, Cytomegalovirus, and Herpes simplex Virus (TORCH) syndrome|Toxoplasma, rubella, cytomegalovirus and herpes simplex mixed infection|TORCH syndrome	GARD:0007781	NCIT:C98609				True	False	True	True
MONDO:0024562	sick sinus syndrome 1	sick sinus syndrome caused by mutation in SCN5A|sinus rhythm, congenital absence of|sinus node disease, familial, autosomal recessive|sick sinus syndrome 1; SSS1|sinus bradycardia syndrome, familial|SSS1|SCN5A sick sinus syndrome|sick sinus syndrome, congenital			OMIM:608567			False	True	True	True
MONDO:0010211	xeroderma pigmentosum group C	xeroderma pigmentosum, complementation group C; XPC|XPCC|XP-C|xeroderma pigmentosum, type 3|xeroderma pigmentosum III|xeroderma pigmentosum 3|XP3|XP, Group C|XP group C|xeroderma pigmentosum, complementation group C|XPC|xeroderma pigmentosum, complementation group type C|xeroderma pigmentosum group type C	GARD:0005626	NCIT:C114770	OMIM:278720	DOID:0110844	Orphanet:276255	True	True	True	True
MONDO:0043280	Wallerian degeneration	Degeneration, Wallerian|Wallerian Degeneration|Wallerian degeneration of the pyramidal tract	GARD:0007875	NCIT:C85223				True	False	True	True
MONDO:0015630	von Willebrand disease type 2M	von Willebrand disease, type 2M|von Willebrand disease, type 2M		NCIT:C131688			Orphanet:166090	False	True	True	True
MONDO:0003722	internal auditory canal meningioma	meningioma (disease) of internal acoustic meatus|meningioma of the internal auditory canal|meningioma of internal auditory canal|internal acoustic meatus meningioma (disease)		NCIT:C5307		DOID:5990		False	True	True	True
MONDO:0017154	pulmonary arterial hypertension associated with portal hypertension	POPH|Portopulmonary hypertension|PAH associated with portal hypertension					Orphanet:275813	False	True	True	True
MONDO:0010099	Tay-Sachs disease AB variant	Tay-Sachs disease, variant AB|hexosaminidase activator deficiency|GM2-gangliosidosis, AB variant|Ab variant GM2-gangliosidosis|GM2 activator deficiency|Tay-Sachs disease, AB variant|GM2 gangliosidosis, AB variant		NCIT:C133084	OMIM:272750	DOID:4795	Orphanet:309246	False	True	True	True
MONDO:0019196	Foix-Alajouanine syndrome	angiodysgenetic necrotizing myelopathy|Subacute ascending necrotizing myelitis|familial osteosclerosis with abnormalities of the nervous system and meninges|Subacute necrotizing myelitis|Subacute angiohypertrophic myelomalacia					Orphanet:79093	False	True	True	True
MONDO:0018419	autosomal recessive spastic paraplegia type 67	SPG67					Orphanet:401820	False	True	True	True
MONDO:0014813	hypomyelinating leukodystrophy 13	HIKESHI leukodystrophy|hikeshi leukodystrophy|HLD13|hypomyelinating leukodystrophy type 13|leukodystrophy, hypomyelinating, 13; HLD13|leukodystrophy caused by mutation in HIKESHI|leukodystrophy, hypomyelinating, 13|leukodystrophy caused by mutation in hikeshi|leukodystrophy, hypomyelinating, type 13			OMIM:616881	DOID:0060795		False	True	True	True
MONDO:0006418	small intestinal enteropathy-associated T-cell lymphoma	small intestinal EATL|small intestinal enteropathy-type T-cell lymphoma|small intestine enteropathy-associated T-cell lymphoma|enteropathy-associated T-cell lymphoma of small intestine		NCIT:C39610				False	True	True	True
MONDO:0014342	female infertility due to zona pellucida defect	oocyte maturation defect; OOMD|oocyte maturation defect|OOMD1|oocyte maturation defect 1; OOMD1|OOMD|oocyte maturation defect 1			OMIM:615774		Orphanet:404466	False	True	True	True
MONDO:0019770	X-linked dominant intellectual disability-epilepsy syndrome						Orphanet:93951	False	True	True	True
MONDO:0008863	sitosterolemia	phytosterolemia|retention of dietary cholesterol and abnormal retention of non-cholesterol sterols in the body|Stsl|macrothrombocytopenia/stomatocytosis, Mediterranean|sitosterolemia|plant sterol storage disease	GARD:0007653	NCIT:C125694	OMIM:210250	DOID:0090019	Orphanet:2882	True	True	True	True
MONDO:0009156	ectrodactyly-polydactyly syndrome	ectrodactyly-polydactyly			OMIM:225290		Orphanet:1892	False	True	True	True
MONDO:0010376	Brooks-Wisniewski-brown syndrome	X-linked mental retardation Brooks type|Brooks Wisniewski Brown syndrome|mental retardation, X-linked, syndromic, Brooks-Wisniewski-Brown type|Brooks-Wisniewski-brown syndrome|X-linked intellectual disability, Brooks type	GARD:0005610		OMIM:300612	DOID:0060829	Orphanet:3056	True	True	True	True
MONDO:0013186	Noonan syndrome 6	Noonan syndrome 6|NRAS gene related Noonan syndrome|Noonan syndrome 6; NS6|Noonan syndrome caused by mutation in NRAS|Noonan syndrome type 6|NRAS Noonan syndrome|NS6	GARD:0010701		OMIM:613224	DOID:0060584		True	True	True	True
MONDO:0020413	encircling double aortic arch						Orphanet:99075	False	True	True	True
MONDO:0013501	amyotrophic lateral sclerosis type 14	amyotrophic lateral sclerosis 14|VCP amyotrophic lateral sclerosis|amyotrophic lateral sclerosis, with or without frontotemporal dementia|amyotrophic lateral sclerosis caused by mutation in VCP|amyotrophic lateral sclerosis 14 with or without frontotemporal dementia|ALS14|amyotrophic lateral sclerosis 14 with or without frontotemporal dementia; ALS14			OMIM:613954	DOID:0060205		False	True	True	True
MONDO:0023224	inherited reflex epilepsy	hereditary reflex epilepsy	GARD:0002455					True	True	True	True
MONDO:0011304	cerebral cavernous malformation 2	CCM2 familial cerebral cavernous malformation|cerebral cavernous malformations 2|cerebral cavernous malformations 2; CCM2|cerebral cavernous malformation type 2|familial cerebral cavernous malformation caused by mutation in CCM2|cerebral cavernous malformations type 2|CCM2			OMIM:603284	DOID:0060670		False	True	True	True
MONDO:0006653	anthracosilicosis			NCIT:C34389		DOID:10324		False	True	True	True
MONDO:0014665	Charcot-Marie-Tooth disease axonal type 2V	hereditary adult-onset painful axonal polyneuropathy|Charcot-Marie-Tooth disease, axonal, type 2V; CMT2V|autosomal dominant axonal Charcot-Marie-Tooth disease type 2V|CMT2V|NAGLU Charcot-Marie-Tooth disease|Charcot-Marie-Tooth neuropathy type 2V|Charcot-Marie-Tooth neuropathy, type 2V|Charcot-Marie-Tooth disease caused by mutation in NAGLU|Charcot-Marie-Tooth disease, axonal, type 2V|Charcot-Marie-Tooth disease, axonal, autosomal dominant, type 2V|autosomal dominant Charcot-Marie-Tooth disease type 2V|autosomal dominant Charcot-Marie-Tooth disease type 2 due to NAGLU mutation			OMIM:616491	DOID:0110178	Orphanet:447964	False	True	True	True
MONDO:0016712	classic medulloblastoma	classic medulloblastoma		NCIT:C54039			Orphanet:251867	False	True	True	True
MONDO:0015166	acute myeloid leukemia with t(8;21)(q22;q22) translocation	AML with t(8;21)(q22;q22) translocation					Orphanet:102724	False	True	True	True
MONDO:0014377	epileptic encephalopathy, early infantile, 24	epileptic encephalopathy, early infantile, 24|epileptic encephalopathy, early infantile, type 24|HCN1 early infantile epileptic encephalopathy|EIEE24|epileptic encephalopathy, early infantile, 24; EIEE24|early infantile epileptic encephalopathy caused by mutation in HCN1			OMIM:615871			False	True	True	True
MONDO:0012761	chromosome 3q29 microduplication syndrome	chromosome 3q29 DUPLICATION syndrome|microduplication 3Q29 syndrome|3q29 microduplication syndrome|3q29 microduplication|trisomy 3q29	GARD:0010360		OMIM:611936	DOID:0060459	Orphanet:251038	True	True	True	True
MONDO:0014195	microcornea-myopic chorioretinal atrophy-telecanthus syndrome	microcornea, myopic chorioretinal atrophy, and telecanthus; MMCAT|MMCAT syndrome|MMCAT|microcornea, myopic chorioretinal atrophy, and telecanthus			OMIM:615458		Orphanet:369970	False	True	True	True
MONDO:0011823	developmental malformations-deafness-dystonia syndrome	juvenile-onset dystonia|DJO|dystonia, juvenile-onset|dystonia, juvenile-onset; DJO	GARD:0009818		OMIM:607371		Orphanet:79107	True	True	True	True
MONDO:0018261	Nevada syndrome	Nevus epidermicus verrucosus with angiodysplasia and aneurysms					Orphanet:370059	False	True	True	True
MONDO:0019028	amoebiasis due to Entamoeba histolytica						Orphanet:67	False	True	True	True
MONDO:0010472	ALG13-CDG	EIEE36|CDG syndrome type Is|congenital disorder of glycosylation type Is|CDG Is|epileptic encephalopathy, early infantile, 36|CDG1S|congenital disorder of glycosylation, type Is; CDG1S|epileptic encephalopathy, early infantile, 36; EIEE36|congenital disorder of glycosylation type 1s|CDG-Is|congenital disorder of glycosylation, type Is	GARD:0012401		OMIM:300884		Orphanet:324422	False	True	True	True
MONDO:0011151	exudative vitreoretinopathy 4	exudative vitreoretinopathy 4|exudative vitreoretinopathy type 4|exudative vitreoretinopathy 4; EVR4|EVR4			OMIM:601813			False	True	True	True
MONDO:0011396	keratoderma hereditarium mutilans with ichthyosis	keratoderma-ichthyosiform dermatosis-elevated beta-glucuronidase syndrome|Camisa disease|mutilating keratoderma with ichthyosis|Vohwinkel syndrome, variant form|Loricrin keratoderma|Vohwinkel syndrome with ichthyosis			OMIM:604117		Orphanet:79395	False	True	True	True
MONDO:0007383	Stern-Lubinsky-Durrie syndrome	Stern Lubinsky Durrie syndrome|CORNEODERMATOOSSEOUS syndrome|corneal dystrophy, epithelial, with skin and skeletal changes|Cdo syndrome|corneo-dermato-osseous syndrome|corneal dystrophy epithelial and short stature	GARD:0001531		OMIM:122440		Orphanet:3194	False	True	True	True
MONDO:0013455	hypertrophic cardiomyopathy 16	cardiomyopathy, familial hypertrophic, type 16|hypertrophic cardiomyopathy caused by mutation in MYOZ2|cardiomyopathy, familial hypertrophic, 16|CMH16|hypertrophic cardiomyopathy type 16|cardiomyopathy familial hypertrophic 16|cardiomyopathy, familial hypertrophic, 16; CMH16|MYOZ2 hypertrophic cardiomyopathy			OMIM:613838	DOID:0110322		False	True	True	True
MONDO:0009428	childhood hypophosphatasia	pediatric hypophosphatasia|pediatric hypophosphatasia|childhood-onset hypophosphatasia|childhood-onset Rathburn disease|childhood-onset phosphoethanolaminuria|hypophosphatasia of childhood|hypophosphatasia, childhood	GARD:0008735		OMIM:241510	DOID:0110915	Orphanet:247667	True	True	True	True
MONDO:0013843	intestinal obstruction in the newborn due to guanylate cyclase 2C deficiency	meconium ileus|meconium ileus caused by mutation in GUCY2C|meconium ileus due to guanylate cyclase 2C deficiency|GUCY2C meconium ileus			OMIM:614665		Orphanet:314376	False	True	True	True
MONDO:0023091	esophageal atresia coloboma talipes		GARD:0002196					True	False	True	True
MONDO:0011549	hypotrichosis 1	HTS|hypotrichosis type 1|hypotrichosis 1|hypotrichosis simplex, generalized, hereditary|HHS|APCDD1 hypotrichosis|hypotrichosis caused by mutation in APCDD1|hereditary generalized hypotrichosis simplex|hypotrichosis 1; HYPT1|HYPT1			OMIM:605389	DOID:0110698		False	True	True	True
MONDO:0009471	intrinsic factor and r binder, combined congenital deficiency of	intrinsic factor and r binder, combined congenital deficiency of			OMIM:243320			False	True	True	True
MONDO:0024285	epsilon-heavy chain disease	IgE heavy chain disease						False	True	True	True
MONDO:0021824	adult progressive spinal muscular atrophy, Aran Duchenne type	Aran Duchenne spinal muscular atrophy|adult progressive spinal muscular atrophy Aran Duchenne type|adult SMA Aran Duchenne type	GARD:0009132					True	True	True	True
MONDO:0015298	pellucid marginal degeneration		GARD:0011895				Orphanet:137672	True	True	True	True
MONDO:0004312	suprasellar meningioma	sella turcica meningioma (disease)|meningioma (disease) of sella turcica		NCIT:C6776		DOID:7634		False	True	True	True
MONDO:0017868	diencephalic-mesencephalic junction dysplasia						Orphanet:319192	False	True	True	True
